cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
PRNP,,,TRIP10,ARL11,ERICH1,RMRP,UTP23,CARNMT1,CCL5
GPCPD1,,,PNPLA6,INTS6,MFHAS1,RGP1,MED30,VPS13A,RDM1
SEC23B,,,TRAPPC5,KLF5,VPS37A,MSMP,SAMD12,KIF27,MYO19
RIN2,,,2-Mar,FBXL3,XPO7,SPAG8,TNFRSF11B,RMI1,PIGW
THBD,,,CCDC159,MYCBP2-AS2,FAM160B2,RECK,MRPL13,NAA35,ARHGAP23
CD93,,,MAN2B1,MBNL2,PPP3CC,FBXO10,TBC1D31,OGN,EPOP
CST3,,,DNASE2,UBAC2,C8orf58,TRMT10B,FAM83A,CCDC180,CDC6
ZNF341-AS1,,,STX10,TM9SF2,CCAR2,FAM27C,TATDN1,NCBP1,KRT17
MAP1LC3A,,,IER2,GGACT,BIN3,LERFS,PCAT1,ANP32B,P3H4
TP53INP2,,,PODNL1,LIG4,LOXL2,C9orf85,PRNCR1,INVS,ZNF385C
SAMHD1,,,IL27RA,NAXD,GNRH1,RFK,ERICD,TEX10,KAT2A
TGM2,,,DNAJB1,TEX29,PPP2R2A,IDNK,TSNARE1,MSANTD3,PSMC3IP
MAFB,,,CYP4F22,CUL4A,EXTL3-AS1,HNRNPK,ADGRB1,TMEFF1,TUBG1
LPIN3,,,SLC35E1,PIP4P1,HMBOX1,ISCA1,LY6E,CAVIN4,PTGES3L
SDC4,,,SIN3B,OXA1L,LEPROTL1,SUSD3,ZNF696,NIPSNAP3B,VAT1
DBNDD2,,,MYO9B,RBM23,DCTN6,AOPEP,GSDMD,FKTN,RND2
SNX21,,,OCEL1,THTPA,GTF2E2,XPA,TIGD5,TMEM38B,BRCA1
SULF2,,,IL12RB1,DHRS4L2,NSD3,HEMGN,TSTA3,ZNF462,C17orf53
CSE1L-AS1,,,RAB3A,IRF9,TM2D2,SEC61B,EXOSC4,ELP1,KIF18B
CEBPB,,,PDE4C,CHMP4A,KAT6A,NIPSNAP3A,CYC1,TXN,SPATA32
SMIM25,,,ELL,TINF2,POLB,ZNF483,SCX,DNAJC25,SKAP1
RBM38,,,CRTC1,RABGGTA,RNF170,HDHD3,FBXL6,C9orf147,TTLL6
ZBP1,,,BORCS8,DHRS1,FNTA,TNC,ZNF251,KIAA1958,ATP5MC1
CTSZ,,,LPAR2,KHNYN,HGSNAT,TRIM32,RPL8,RNF183,EME1
COL9A3,,,GMIP,STRN3,PCMTD1,B3GNT10,RFX3,WDR31,LRRC59
PTK6,,,CEBPG,SNX6,RB1CC1,GSN-AS1,PLGRKT,BSPRY,NME1
DNAJC5,,,KIAA0355,PPP2R3C,ATP6V1H,NDUFA8,RANBP6,C9orf43,AKAP1
TIAM1,,,LGI4,SEC23A,LYPLA1,LHX6,ZDHHC21,ZNF618,MPO
IL10RB-DT,,,NFKBID,SEC23A-AS1,IMPAD1,ZBTB6,PSIP1,WHRN,TSPOAP1
IFNGR2,,,CAPNS1,TRAPPC6B,NSMAF,NR5A1,FOCAD-AS1,PAPPA,RAD51C
KCNE1,,,CATSPERG,MIA2,ASPH,ARPC5L,KLHL9,ASTN2,C17orf64
MX2,,,SIRT2,KLHL28,YTHDF3-AS1,ZNF79,CAAP1,CDK5RAP2,BRIP1
SIK1,,,ZNF780A,NIN,ADHFE1,STXBP1,TOPORS,ZBTB26,MRC2
PDXK,,,MAP3K10,PYGL,VXN,AK1,SPINK4,MIR600HG,KPNA2
AATBC,,,SERTAD1,STYX,SGK3,ST6GALNAC4,UBE2R2-AS1,STRBP,CDR2L
AGPAT3,,,SPTBN4,CNIH1,ARFGEF1,PIP5KL1,PIGO,PSMB7,FOXJ1
ITGB2,,,SHKBP1,CGRRF1,LACTB2,PTGES2,TPM2,NR6A1,TK1
ITGB2-AS1,,,ITPKC,FBXO34,MSC,C9orf16,NPR2,RPL35,MRPL12
IL17RA,,,CYP2F1,DAAM1,GDAP1,SWI5,HINT2,RABEPK,ALYREF
TMEM121B,,,ARHGEF1,PPM1A,ZC2HC1A,SLC27A4,PAX5,RPL12,MAFG-DT
HDHD5,,,DEDD2,SGPP1,SNX16,URM1,EBLN3P,FPGS,PYCR1
ADA2,,,LYPD3,ATP6V1D,ATP6V0D2,HMGA1P4,ZCCHC7,TRUB2,CENPX
TBX1,,,BCL3,TMEM229B,CPNE3,ZDHHC12,GRHPR,COQ4,LRRC45
AIFM3,,,BLOC1S3,VTI1B,OSGIN2,ZER1,EXOSC3,ODF2,RAC3
GSTT2B,,,EML2,DCAF5,NBN,NTMT1,GLIDR,SET,FASN
ADORA2A,,,DMPK,SLC39A9,OTUD6B-AS1,C9orf78,ANKRD20A4,NUP188,TYMSOS
SLC5A4,,,DMWD,ZFYVE1,LRRC69,POMT1,APBA1,USP20,TYMS
TOM1,,,PNMA8B,ELMSAN1,INTS8,UCK1,SMC5-AS1,EXOSC2,NDC80
HMOX1,,,CALM3,SPTLC2,TP53INP1,MED27,SMC5,AIF1L,L3MBTL4-AS1
CDC42EP1,,,STRN4,GTF2A1,MTDH,TTF1,GKAP1,DDX31,MTCL1
LGALS2,,,DHX34,FOXN3,NIPAL2,AK8,C9orf153,GTF3C4,TWSG1
APOBEC3A,,,NAPA,FOXN3-AS1,VPS13B-DT,GFI1B,SPIN1,GTF3C5,PRELID3A
NAGA,,,BICRA,ATXN3,RNF19A,SURF2,AUH,CEL,CEP76
NFAM1,,,CRX,NDUFB1,UBR5-AS1,CCDC187,NOL8,MRPS2,ZNF519
ATP5MGL,,,CARD8-AS1,CPSF2,UBR5,DNLZ,ZNF510,GPSM1,SNRPD1
TSPO,,,LMTK3,RIN3,AZIN1-AS1,NALT1,ZNF782,SNAPC4,OSBPL1A
KIAA0930,,,PPP1R15A,LGMN,EMC2,LCN10,TSTD2,PMPCA,TAF4B
TYMP,,,CD37,GOLGA5,ENY2,LCN8,STX17-AS1,EGFL7,MIR924HG
ODF3B,,,PTOV1-AS2,TMEM251,RAD21-AS1,TMEM141,STX17,TRAF2,SLC14A1
PUDP,,,ATF5,IFI27L2,DERL1,PHPT1,MRPL50,RNF208,LMAN1
STS,,,NAPSA,CCNK,C8orf76,EDF1,ZNF189,TUBB4B,RTTN
TBL1X,,,SPACA6,TECPR2,TRMT12,C8G,TMEM245,ZMYND11,NETO1
ARHGAP6,,,VSTM1,MARK3,SQLE,LCN12,PRPF4,GTPBP4,ADNP2
TLR7,,,LAIR1,KLC1,NSMCE2,CLIC3,CNTRL,PITRM1-AS1,PARD6G
TLR8,,,ZNF524,ZFYVE21,ST3GAL1,C9orf139,STOM,ANKRD16,FGF22
TMSB4X,,,FAM110A,ATP5MPL,ZFAT,FUT7,TTLL11,CDNF,PTBP1
AP1S2,,,FKBP1A,AKT1,TRAPPC9,NPDC1,MRRF,HSPA14,PLPPR3
SCML1,,,C20orf194,PACS2,CHRAC1,MAN1B1-DT,PDCL,HSPA14-1,APC2
PHKA2,,,PANK2,KLF13,AGO2,SSNA1,MIR181A2HG,ACBD7,REEP6
CYBB,,,ID1,GREM1,ZC3H3,ENTPD8,SCAI,NMT2,MBD3
RP2,,,TM9SF4,SLC12A6,MROH6,PNPLA7,PTRH1,ST8SIA6,AMH
CLCN5,,,POFUT1,BMF,NAPRT,MRPL41,DPM2,HACD1,TMPRSS9
VSIG4,,,KIF3B,INAFM2,ZNF623,ARRDC1-AS1,FAM102A,ARL5B,LMNB2
OPHN1,,,NECAB3,VPS18,ZNF707,DIP2C,CIZ1,MALRD1,DIRAS1
NHSL2,,,ZNF341,VPS39,PARP10,ADARB2,DNM1,KIAA1217,THOP1
RPA4,,,ITCH,SNAP23,SPATC1,AKR1C3,TBC1D13,PRTFDC1,ZNF556
IL13RA1,,,GGT7,LRRC57,SHARPIN,IL2RA,ENDOG,THNSL1,CHAF1A
LONRF3,,,ACSS2,CCNDBP1,MAF1,RBM17,SPOUT1,MTPAP,PRR22
SOWAHD,,,RAB5IF,SERF2,HSF1,ATP5F1C,KYAT1,BMS1,KHSRP
MCF2,,,MROH8,CASC4,VPS28,GATA3,LRRC8A,ZNF239,CD320
FMR1-IT1,,,CTSA,SPG11,CYHR1,CELF2-AS1,PHYHD1,ZNF485,DNMT1
PNMA5,,,ELMO2,PATL2,C8orf82,USP6NL,DOLPP1,C10orf25,SPC24
ZFP92,,,NCOA3,SECISBP2L,ZNF34,PHYH,ABL1,ZNF22,ZNF878
SLC6A8,,,PREX1,USP8,ZNF7,BEND7,PRRC2B,ZFAND4,RNASEH2A
ABCD1,,,ZNFX1,TMOD3,ZNF250,RPP38-DT,SPACA9,AGAP9,SYCE2
TKTL1,,,SPATA2,MINDY2,ZNF252P-AS1,RPP38,ABO,RHOBTB1,CALR
FLNA,,,SNAI1,VPS13C,WASHC1,CUBN,SURF6,DNAJC12,DAND5
C1QB,,,RAE1,HERC1,CBWD1,TRDMT1,RPL7A,DDX21,C19orf57
MAN1C1,,,ATP5F1E,CIAO2A,DOCK8-AS1,STAM,STKLD1,SUPV3L1,ASF1B
SDC3,,,PPP1R3D,TRIP4,GLIS3,CACNB2,REXO4,H2AFY2,DDX39A
FCGR3B,,,TAF4,DPP8,PLPP6,NSUN6,ADAMTS13,PPA1,OR10H1
ATOH8,,,UCKL1-AS1,DENND4A,CDC37L1-DT,ARMC4,SARDH,PALD1,CYP4F2
TEX41,,,RGS19,SMAD3,CDC37L1,RASGEF1A,BRD3OS,PRF1,CIB3
SATB2-AS1,,,U2AF1L5,TLE3,PDCD1LG2,AGAP4,COL5A1,ADAMTS14,HAUS8
AFAP1,,,MAP3K7CL,HEXA-AS1,KIAA2026,ARHGAP22,PPP1R26-AS1,DNAJC9-AS1,ANKLE1
CFB,,,PAXBP1-AS1,TMEM202-AS1,CNTLN,WDFY4,ENTR1,MRPS16,CERS1
MYO6,,,OLIG1,CLK3,RRAGA,VSTM4,INPP5E,PLAU,NR2C2AP
PPP1R17,,,IFNAR2,MAN2C1,DENND4C,TMEM273,C9orf163,ADK,PBX4
NFE4,,,IFNAR1,PEAK1,PLAA,PRKG1,DIPK1B,KAT6B,ZNF714
NRG1,,,RCAN1,MINAR1,ACO1,CISD1,SNHG7,RPS24,ZNF492
LYPD2,,,CBR3-AS1,MTHFS,SMU1,ANK3,LCN6,EIF5AL1,ZNF724
GNA14,,,DOP1B,ZFAND6,BAG1,TSPAN15,RABL6,NUTM2B,CCNE1
SLC46A2,,,MX1,IL16,DCTN3,TYSND1,AJM1,TMEM254-AS1,GPI
FAM225B,,,ATP6V1E1,STARD5,CREB3,UNC5B-AS1,PAXX,STAMBPL1,HAUS5
FAM225A,,,BID,BTBD1,CLTA,SPOCK2,ABCA2,FGFBP3,ARHGAP33
LIPN,,,DGCR2,SEC11A,RNF38,ASCC1,DPP7,NOC3L,ZNF850
FFAR4,,,DGCR11,ANPEP,DCAF10,AGAP5,LRRC26,CYP2C8,CCER2
CASP5,,,TXNRD2,AP3S2,SLC25A51,CHCHD1,NRARP,CCNJ,FBL
SLC6A12,,,TANGO2,TTLL13P,CBWD5,CAMK2G,DPH7,CNNM1,ERICH4
KLRF1,,,TMEM191C,FES,FAM27E3,C10orf55,EHMT1,ENTPD7,PCAT19
OLR1,,,MAPK1,MEF2A,CBWD3,VDAC2,PFKP,TWNK,BCAM
PLBD1-AS1,,,CHCHD10,LRRK1,FAM122A,POLR3A,PITRM1,LZTS2,TOMM40
KRT80,,,TPST2,SELENOS,PTAR1,PPIF,ASB13,DPCD,ERCC2
GLT1D1,,,RASL10A,TM2D3,ALDH1A1,TMEM254,TASOR2,PPRC1,SIX5
ZDHHC20-IT1,,,AP1B1,FBXL16,DAPK1,PRXL2A,PRKCQ,CNNM2,PPP5C
KREMEN2,,,SEC14L2,GNPTG,SECISBP2,ATAD1,PRKCQ-AS1,RPEL1,CCDC8
HYDIN,,,DUSP18,CLCN7,IPPK,KLLN,UPF2,PCGF6,SAE1
RCVRN,,,SELENOM,MAPK8IP3,ZNF484,RNLS,DHTKD1,PDCD11,LIG1
PMP22,,,RNF185,HAGH,CARD19,FRA10AC1,SEC61A2,SH3PXD2A,ZNF114
FAM20A,,,LIMK2,PGP,PTPDC1,CYP2C18,NUDT5,COL17A1,KCNJ14
SCAT1,,,PIK3IP1,ERVK13-1,ZNF169,SORBS1,CDC123,CFAP43,FUT1
CD209,,,APOL6,KCTD5,ERCC6L2,DNTT,SEPHS1,SMC3,RUVBL2
HOMER3-AS1,,,CYTH4,ELOB,MFSD14C,EXOSC1,ST8SIA6-AS1,PDZD8,BCL2L12
FCGBP,,,SH3BP1,FLYWCH1,NUTM2G,SLC25A28,STAM-AS1,PSTK,ADM5
CEACAM3,,,TRIOBP,CLDN9,TRMO,SCD,MLLT10,EDRF1-DT,POLD1
KLK1,,,SUN2,TNFRSF12A,NANS,OLMALINC,DNAJC1,UROS,SHANK1
FPR3,,,MRTFA,ZNF213,ALG2,NDUFB8,COMMD3,BCCIP,CLEC11A
LILRB5,,,EP300,NAA60,RNF20,MRPL43,SPAG6,DOCK1,C19orf48
SIRPD,,,SREBF2-AS1,GLYR1,FSD1L,FBXW4,ENKUR,FUOM,DNAAF3
SIGLEC1,,,CYP2D6,NAGPA-AS1,RAD23B,KCNIP2-AS1,ANKRD26,ECHS1,ISOC2
TSHZ2,,,NUP50-DT,CARHSP1,LPAR1,ATP5MD,ZEB1-AS1,CYP2E1,TRIM28
OGFR-AS1,,,PRR34-AS1,NUBP1,ECPAS,STN1,ZEB1,LRRC56,NRSN2
SIK1B,,,GTSE1-DT,LITAF,CDC26,GSTO2,CCDC7,EPS8L2,PCNA
RFPL2,,,CERK,ZC3H7A,PSMD5,PDCD4-AS1,ZNF248,SLC25A22,MCM8
LARGE1,,,KLHDC7B,SNX29,RAB14,ADRA2A,ZNF37A,PANO1,FERMT1
FAM83F,,,ARSA,MARF1,GSN,AFAP1L2,ZNF33B,RPLP2,DZANK1
NHS,,,HCCS,NDE1,RBM18,ABLIM1,HNRNPF,H19,CST7
C1QC,,,MSL3,NOMO3,RC3H2,TIAL1,ZNF32,NAP1L4,GINS1
WLS,,,RAB9A,GDE1,RABGAP1,ATE1,DEPP1,ZNF195,TPX2
RNU6ATAC35P,,,ASB11,VPS35L,NEK6,NSMCE4A,PTPN20,NUP98,E2F1
SUSD4,,,INE2,KIAA0556,MAPKAP1,C10orf88,MAPK8,MRPL17,AHCY
RND3,,,REPS2,XPO6,PBX3,C10orf143,TIMM23B,RPL27A,PIGU
UPP2,,,ACOT9,SULT1A2,LRSAM1,GLRX3,SGMS1-AS1,IPO7,DSN1
DES,,,GK,SPNS1,CDK9,LRRC27,CSTF2T,PRMT3,RBL1
CCL20,,,ATP6AP2,C16orf54,ENG,INPP5A,LNCAROD,SVIP,SNHG17
KLHL30,,,MED14OS,PRRT2,ST6GALNAC6,UTF1,TFAM,METTL15,FAM83D
TWIST2,,,GPR82,CDIPT,SLC25A25-AS1,PAOX,HNRNPH3,IMMP1L,PLCG1
CROCC2,,,CHST7,KCTD13,GOLGA2,PSMD13,RUFY2,PAX6,SGK2
P2RY12,,,UXT-AS1,TMEM219,GLE1,IFITM1,TET1,RCN1,UBE2C
TPRG1-AS1,,,WAS,TAOK2,SPTAN1,RASSF7,CCAR1,WT1,CSE1L
TPRG1,,,MSN,ALDOA,DOLK,SCT,DDX50,DEPDC7,AURKA
SORCS2,,,BRWD3,PPP4C,SH3GLB2,DRD4,KIF1BP,CSTF3,GNAS-AS1
ABLIM3,,,SH3BGRL,YPEL3,MIGA2,POLR2L,PCBD1,CSTF3-DT,CDH26
TIMD4,,,DIAPH2,CORO1A,PTPA,TOLLIP-AS1,NUDT13,CAPRIN1,SLCO4A1
ADAMTS2,,,TSC22D3,SLX1A,ASB6,TSPAN32,NUTM2E,NAT10,RTEL1
PRL,,,GLUD2,NPIPB13,TOR1A,TRIM68,ACTA2,ABTB2,SLC2A4RG
PNPLA1,,,XIAP,TBC1D10B,FNBP1,HBD,RPP30,SLC1A2,LKAAEAR1
DAAM2,,,ELF4,ZNF688,FAM78A,HBG2,EXOC6,C11orf74,BTG3
TREM2,,,RAP2C,TMEM265,NTNG2,TRIM5,PLCE1,PRDM11,ADAMTS1
SOGA3,,,ZNF449,STX4,TSC1,OR56B1,PDLIM1,MDK,MIS18A
SLC22A1,,,SLITRK4,ZNF646,RALGDS,OR52N5,TCTN3,CKAP5,URB1
JAZF1-AS1,,,FMR1,BCKDK,BRD3,OR52N1,ENTPD1-AS1,PSMC3,DONSON
CTTNBP2,,,RENBP,PYCARD,AGPAT2,OR2AG2,ZDHHC16,PTPMT1,CBR3
FABP4,,,DNASE1L1,DNAJA2,CCDC183,EIF3F,MORN4,C1QTNF4,CHAF1B
OSR2,,,GDI1,ITFG1,PTGDS,RIC3,GOT1,NUP160,HMGN1
BNC2,,,FAM50A,N4BP1,MAN1B1,STK33,NKX2-3,CCDC86,LCA5L
CNTNAP3,,,IKBKG,SNX20,TMEM203,ST5,CUTC,PRPF19,WDR4
GRIN3A,,,SPRY3,BBS2,STPG3-AS1,AKIP1,SEMA4G,FADS2,HSF2BP
OLFM1,,,CCDC68,CPNE2,NELFB,TMEM9B-AS1,BTRC,EEF1G,GATD3A
OLAH,,,IGLC2,CMTM3,EXD3,ZBED5-AS1,CUEDC2,GANAB,ADARB1
SNCG,,,SLC5A4-AS1,CES2,ARRDC1,GALNT18,RPARP-AS1,UQCC3,C21orf58
HTRA1,,,,TRADD,GDI2,SPON1,C10orf95,SNHG1,CDC45
LYVE1,,,,E2F4,FBH1,C11orf58,SFR1,C11orf95,SEPTIN5
PGA5,,,,FHOD1,IL15RA,LDHA,SORCS1,NAA40,RANBP1
SLCO2B1,,,,NRN1L,KIN,LDHAL6A,XPNPEP1,MACROD1,ZNF280B
TENM4,,,,NFAT5,TAF3,SPTY2D1OS,PDCD4,VEGFB,DRICH1
MMP8,,,,ST3GAL2,CELF2,GAS2,GPAM,PPP1R14B,DERL3
CLEC6A,,,,FCSK,CAMK1D,MPPED2,NHLRC2,NRXN2,MIF
CLEC1A,,,,VAC14,PRPF18,ELP4,FAM160B1,CDC42BPG,SUSD2
GUCY2C,,,,AP1G1,DCLRE1C,C11orf91,TRUB1,ARL2,CHEK2
C12orf81,,,,ATXN1L,MINDY3,APIP,SLC18A2,ZNRD2,ZNRF3
RPH3A,,,,GABARAPL2,PTER,PDHX,RAB11FIP2,CTSW,NEFH
OXGR1,,,,MAF,WAC-AS1,PRR5L,EIF3A,CCDC85B,CCDC157
COL4A1,,,,CDYL2,SVIL,ALKBH3-AS1,IKZF5,B4GAT1,MTFP1
TDRD9,,,,PLCG2,EPC1,C11orf96,ACADSB,MRPL11,SMTN
SPTBN5,,,,TAF1C,CUL2,EXT2,BUB3,ZDHHC24,TIMP3
TNFAIP8L3,,,,KLHL36,CREM,CD82,EEF1AKMT2,RBM14,MCM5
ISL2,,,,ZNF469,ZNF33A,ATG13,EDRF1,C11orf80,RBFOX2
TEKT5,,,,ZFPM1,TMEM72-AS1,ZNF408,DHX32,NDUFV1,FOXRED2
CES1,,,,SNAI3,8-Mar,ARFGAP2,FANK1,LRP5,CARD10
MT1M,,,,ZNF778,SYT15,DDB2,MGMT,DHCR7,PDXP
NECAB2,,,,CHMP1A,PARG,NR1H3,MTG1,ALG1L9P,GCAT
TBC1D3D,,,,VPS53,TIMM23B-AGAP6,KBTBD4,SCART1,FAM86C1,GALR3
KRT23,,,,RILP,PRKG1-AS1,MTCH2,SIRT3,COA4,SLC16A8
ADAMTSL5,,,,TLCD2,CCDC6,FNBP4,ANO9,LIPT2,DMC1
RGL3,,,,WDR81,ARID5B,RTN4RL2,PTDSS2,NEU3,EP300-AS1
RLN3,,,,PAFAH1B1,ADO,CLP1,HRAS,RPS3,CCDC134
EPHX3,,,,RAP1GAP2,VPS26A,MED19,DEAF1,AQP11,TNFRSF13C
MEIS3,,,,P2RX1,C10orf105,SELENOH,GATD1,ALG8,CENPM
HRC,,,,MED11,ANAPC16,ZFP91,TNNT3,NARS2,BIK
CACNG6,,,,PFN1,DDIT4,GLYATL2,MRPL23,CEP295,TTLL12
SMIM34B,,,,MED31,ECD,MRPL16,CD81,MED17,SMC1B
KCNE1B,,,,XAF1,CFAP70,CD6,KCNQ1OT1,MRE11,RIBC2
ADAMTS5,,,,SLC16A13,ANXA7,CD5,PGAP2,AMOTL1,GTSE1
KCNJ15,,,,CTDNEP1,AP3M1,TKFC,HBG1,KDM4D,NCAPH2
CECR2,,,,CLDN7,LRMDA,TMEM258,OR51B5,MTMR2,XG
C22orf42,,,,FGF11,ZMIZ1-AS1,B3GAT3,UBQLNL,DCUN1D5,PRPS2
PVALB,,,,ZBTB4,ZMIZ1,INTS5,OR52H1,PDGFD,GPM6B
PRRG1,,,,VAMP2,NUTM2B-AS1,POLR2G,ARFIP2,DDX10,FANCB
GABRE,,,,BORCS6,CCSER2,TAF6L,RRP8,ZC3H12C,RBBP7
AVPR2,,,,CTC1,WAPL,RASGRP2,ZNF214,ALG9,PHKA2-AS1
SCGB3A2,,,,MAP2K4,SHLD2,SF1,CSNK2A3,ALG9-IT1,PRDX4
TBX18,,,,ZSWIM7,NUTM2A-AS1,MAP4K2,DKK3,FDXACB1,POLA1
ORM1,,,,TRPV2,MINPP1,TM7SF2,RRAS2,C11orf1,XK
PGLYRP1,,,,RASD1,TNKS2-AS1,FAU,PSMA1,DLAT,MID1IP1-AS1
FAM3B,,,,TVP23B,BTAF1,FIBP,PLEKHA7,PIH1D2,SLC38A5
CT45A10,,,,SPECC1,5-Mar,DRAP1,RPS13,TMPRSS5,SUV39H1
SAGE1,,,,TMEM199,IDE,SF3B2,KCNC1,ZW10,SHROOM4
MMP2-AS1,,,,ALDOC,HHEX,KLC2,IGSF22,APOA1,SMC1A
,,,,SPAG5-AS1,ZNF518A,CCS,ZDHHC13,TTC36,ALAS2
,,,,RSKR,BLNK,SPTBN2,FANCF,CCDC84-DT,MTMR8
,,,,SDF2,TM9SF3,LRFN4,BDNF-AS,RPS25,LAS1L
,,,,NEK8,LCOR,RAD9A,DNAJC24,SLC37A4,KIF4A
,,,,CRLF3,MMS19,TBC1D10C,WT1-AS,HYOU1,ERCC6L
,,,,RFFL,ZFYVE27,CARNS1,EIF3M,ROBO3,PHKA1
,,,,PSMB3,COX15,PTPRCAP,CD59,EI24,RTL3
,,,,STARD3,SEC31B,GSTP1,RAG1,IQSEC3,LPAR4
,,,,TCAP,HIF1AN,CPT1A,HSD17B12,CACNA1C-AS1,HMGN5
,,,,MIEN1,SLF2,IGHMBP2,ALKBH3,FKBP4,CENPI
,,,,EIF1,POLL,FADD,AMBRA1,CCND2,TIMM8A
,,,,DNAJC7,HPS6,LRTOMT,C11orf49,GALNT8,NUP62CL
,,,,NKIRAS2,LDB1,ANAPC15,NDUFS3,NOP2,PRPS1
,,,,GHDC,FBXL15,CLPB,FAM180B,P3H3,NXT2
,,,,STAT5B,ARL3,ARHGEF17,AGBL2,GNB3,XACT
,,,,STAT3,NT5C2,P4HA3,SERPING1,PHB2,ZNF280C
,,,,EZH1,TAF5,XRRA1,TMX2,EMG1,SMIM10
,,,,CNTD1,SLK,KLHL35,PTGDR2,EIF2S3B,INTS6L-AS1
,,,,RUNDC1,GSTO1,SERPINH1,TMEM109,TAS2R13,HMGB3
,,,,IFI35,ACSL5,UVRAG,VWCE,TAS2R31,PNMA3
,,,,TMEM106A,ZDHHC6,THAP12,DDB1,TAS2R30,PNMA6A
,,,,DHX8,FAM204A,TSKU,TMEM216,ETV6,F8A3
,,,,DUSP3,RGS10,RSF1,FADS1,LRP6,GPAT2
,,,,HDAC5,INPP5F,RSF1-IT2,TUT1,APOLD1,DENND6A-AS1
,,,,LRRC37A,SEC23IP,AAMDC,LBHD1,DDX47,MORC1
,,,,NPEPPS,WDR11-AS1,NDUFC2,CSKMT,LDHB,AFAP1-AS1
,,,,SP2,ABRAXAS2,KCTD21-AS1,BSCL2,BHLHE41,UGT3A2
,,,,NFE2L1,ZRANB1,RAB30,TMEM223,SSPN,HMHB1
,,,,HOXB-AS1,EDRF1-AS1,RAB30-DT,SPINDOC,TM7SF3,RANBP17
,,,,ZNF652,MMP21,CCDC90B,STIP1,KLHL42,TFAP2A
,,,,TMEM92-AS1,ADAM12,TMEM126B,TRPT1,DENND5B-AS1,LGSN
,,,,ANKRD40,PPP2R2D,HIKESHI,TRMT112,BICD1,SHH
,,,,SPAG9,PWWP2B,CTSC,PYGM,ALG10B,CA1
,,,,SUPT4H1,ZNF511,NAALAD2,MEN1,ARID2,PSKH2
,,,,SMG8,BET1L,ANKRD49,NAALADL1,RAPGEF3,CUZD1
,,,,RNFT1,RIC8A,CWC15,VPS51,SENP1,FAM24B
,,,,TANC2,PHRF1,FAM76B,ZNHIT2,FKBP11,TCN1
,,,,LIMD2,TALDO1,CNTN5,MRPL49,RHEBL1,ZNF705E
,,,,DDX5,CRACR2B,CEP126,LTBP3,TUBA1C,IGSF9B
,,,,HELZ,MOB2,AASDHPPT,SNX32,SPATS2,MIP
,,,,ABCA9,PRR33,FDX1,TSGA10IP,BCDIN3D-AS1,LUM
,,,,CD300A,TSSC4,LAYN,BANF1,LIMA1,USP44
,,,,ARMC7,CHRNA10,TIMM8B,CNIH2,TNS2,TNFRSF19
,,,,MYO15B,OR52I1,IL18,YIF1A,TARBP2,COX8C
,,,,SAP30BP,TIMM10B,BUD13,DPP3,SCAT2,DYNAP
,,,,UNC13D,DNHD1,BACE1-AS,BBS1,HNRNPA1,KCNA7
,,,,UBALD2,TRIM66,SMIM35,CTSF,GDF11,PWP2
,,,,TMC6,TMEM41B,CD3E,RBM4,RPS26,DUXAP8
,,,,CANT1,SWAP70,CD3D,RBM4B,RPL41,OTUD6A
,,,,ENGASE,MRVI1-AS1,CD3G,ACY3,MYL6B,APLN
,,,,RNF213,CTR9,ATP5MG,NDUFS8,NABP2,CCDC85A
,,,,RNF213-AS1,ZBED5,KMT2A,CHKA,SPRYD4,LSAMP
,,,,BAIAP2-DT,USP47,TRAPPC4,MRPL21,RBMS2,TRIM61
,,,,TEPSIN,BTBD10,NLRX1,FCHSD2,NAB2,HOXA11
,,,,MAFG,COPB1,MCAM,MRPL48,NDUFA4L2,CTNNA3
,,,,CSNK1D,CYP2R1,UBASH3B,PAAF1,EEF1AKMT3,GLB1L2
,,,,CYBC1,SERGEF,JHY,UCP3,TSFM,SPATA8
,,,,WDR45B,HPS5,SPA17,PPME1,PPM1H,SPATA22
,,,,TGIF1,GTF2H1,HYLS1,PGM2L1,RXYLT1,HOXB8
,,,,ANKRD12,SPTY2D1,ZBTB44-DT,POLD3,C12orf66,HOXB9
,,,,PPP4R1,ARL14EP,JAM3,GVQW3,CAND1,CACNG4
,,,,VAPA,QSER1,RAD52,CLNS1A,MDM1,SLC24A3
,,,,ROCK1,TCP11L1,ADIPOR2,DLG2,NUP107,VSTM2L
,,,,RMC1,FBXO3,DCP1B,TMEM126A,CPSF6,SULT4A1
,,,,TRAPPC8,TRAF6,ITFG2-AS1,CREBZF,CCT2,MAP7D2
,,,,SETBP1,API5,ITFG2,SYTL2,KRR1,TNN
,,,,SIGLEC15,TTC17,PARP11,EED,NAP1L1,CLSTN2
,,,,SMAD2,ACCS,DYRK4,RAB38,CEP290,C2CD6
,,,,ZBTB7C,PEX16,NDUFA9,TAF1D,CEP83,FOXCUT
,,,,CTIF,DGKZ,VWF,SRSF8,NR2C1,PROSER2-AS1
,,,,ME2,HARBI1,PLEKHG6,ENDOD1,METAP2,FAM171A1
,,,,RELCH,MADD,CD27,CEP57,TMPO,KCNJ5
,,,,CNDP2,SLC39A13,ACRBP,TMEM123,NUP37,TRPM2-AS
